author_name,author_username,author_followers,created_at,tweet_text,like_count,retweet_count,reply_count
Lightning Mike,LightningMike23,731,2025-11-04 19:54:28+00:00,A 10-year-old autopilot system performs nearly as well as BlueCruise. The evolution of self-driving tech is evident. #LightningMike #EV #Autopilot #BlueCruise #SelfDriving #ElectricVehicles #TechEvolution https://t.co/h4EPCVwd5S,0,0,0
NEWSLINKER,thenewslinker,3775,2025-11-04 19:54:16+00:00,"Major Space Companies Launch Key Satellite Missions This November https://t.co/sfUHHw5vBh

Get the latest #technology #electricvehicles #ai #robotics #cybersecurity news on NEWSLINKER!",0,0,0
Arijit K ROY 🇮🇳,FighterAKR,196,2025-11-04 19:30:00+00:00,"Market Share of Top Electric 2-Wheeler Companies in India (FY26 YTD):-

#TVSMOTOR tops India's E-2W market with 22% share. #BajajAuto (19%), #OLAELEC (17%) and #ATHERENERG (16%) closely follow. #HEROMOTOCO (10%) &amp; Others (16%) complete the picture.

#ElectricVehicles #StockMarket https://t.co/w22hmKLp18",0,0,0
Lithium South Development Corporation,LithiumSouth,2678,2025-11-04 19:03:55+00:00,"CATL has started buying lithium ore from external suppliers in November due to the closure of its main Jianxiawo mine.

$LIS $LISMF $OROCF $TSLA #lithium #argentina #Mining #ElectricVehicles 

https://t.co/jE8ahueahm",1,0,0
Blacklock's Reporter,mindingottawa,57519,2025-11-04 19:00:29+00:00,"“#ElectricVehicles bring health benefits &amp; cost savings...reduce air pollution in Canadian communities &amp; reduce health care costs.”
— Megan Nichols, AADM @environmentca 
EV Availability Standard would lower GHG emissions by 362 million tonnes over 25yrs, said Nichols. https://t.co/oJ4VZcMhaP",12,2,6
Blacklock's Reporter,mindingottawa,57519,2025-11-04 18:59:49+00:00,"“#ElectricVehicles bring health benefits &amp; cost savings...reduce air pollution in Canadian communities &amp; reduce health care costs.”
— Megan Nichols, assist deputy @environmentca 
Electric Vehicle Availability Standard would lower GHG emissions by 362 million tonnes over 25yrs, https://t.co/oJ4VZcMhaP",1,0,0
Blacklock's Reporter,mindingottawa,57519,2025-11-04 18:58:13+00:00,"“#ElectricVehicles bring health benefits and cost savings to Canadians. They reduce air pollution in Canadian communities and reduce health care costs.”
— Megan Nichols, assistant deputy @environmentca 
‘Electric Vehicle Availability Standard’ would lower GHG emissions by 362 https://t.co/oJ4VZcMP0n",1,0,1
Graham Wealth Partners,CGWM_GrahamWP,103,2025-11-04 18:49:01+00:00,"Renewable Energy and EVs Have Grown So Much Faster than Experts Predicted 10 Years Ago

#technology #renewableenergy #electricvehicles #cleantech #greentech https://t.co/1x5br7KPse",1,0,0
NEWSLINKER,thenewslinker,3775,2025-11-04 18:34:46+00:00,"Apple Watch Users Gain Official WhatsApp App Support https://t.co/YH2BYOAK6I

Get the latest #technology #electricvehicles #ai #robotics #cybersecurity news on NEWSLINKER!",1,0,0
NEWSLINKER,thenewslinker,3775,2025-11-04 18:34:45+00:00,"Tesla Investors Move Assets After Schwab Opposes Musk’s Pay Package https://t.co/lp1fCWYhKw

Get the latest #technology #electricvehicles #ai #robotics #cybersecurity news on NEWSLINKER!",1,0,0
